npn,municipio,direccion,ficha
050880100110600010031901270521,BELLO,CR 43 N 25-35 AP 2708 PI 27 TO 1,400118796
050880100110600010031901280526,BELLO,CR 43 N 25-35 AP 2802 PI 28 TO 1,400118801
050880100110600010031901280530,BELLO,CR 43 N 25-35 AP 2806 PI 28 TO 1,400118805
050880100110600010031901280533,BELLO,CR 43 N 25-35 AP 2809 PI 28 TO 1,400118808
050880100110600010031901290538,BELLO,CR 43 N 25-35 AP 2903 PI 29 TO 1,400118813
050880100110600010031901290540,BELLO,CR 43 N 25-35 AP 2905 PI 29 TO 1,400118815
050790001000000010078000000000,BARBOSA,S.N.,3007495
050790001000000010079000000000,BARBOSA,S.N.,3007496
050790001000000010079000000000,BARBOSA,S.N.,3007496
050790001000000010079000000000,BARBOSA,S.N.,3007496
050790001000000010083000000000,BARBOSA,EL PEÑASCO,3007500
050790001000000010087000000000,BARBOSA,LINDA LUZ,3007504
050790001000000010087000000000,BARBOSA,LINDA LUZ,3007504
050790001000000010088000000000,BARBOSA,S.N.,3007505
050790001000000010088000000000,BARBOSA,S.N.,3007505
050790001000000130001000000000,BARBOSA,VDA TAMBORCITO CALLE 3,3012007
050790001000000130001000000000,BARBOSA,VDA TAMBORCITO CALLE 3,3012007
05088100100300080000400000000000,BELLO,NULL,NULL
050880100110600040007000000000,BELLO,CL 26 N 100-115,3200024
050880100110600010031901290546,BELLO,CR 43 N 25-35 AP 2911 PI 29 TO 1,400118821
050880100110600010031901300548,BELLO,CR 43 N 25-35 AP 3002 PI 30 TO 1,400118823
050880100110600010031901300549,BELLO,CR 43 N 25-35 AP 3003 PI 30 TO 1,400118824
050880100110600010031901300550,BELLO,CR 43 N 25-35 AP 3004 PI 30 TO 1,400118825
050880100110600010031901300551,BELLO,CR 43 N 25-35 AP 3005 PI 30 TO 1,400118826
050880100110600010031901300552,BELLO,CR 43 N 25-35 AP 3006 PI 30 TO 1,400118827
